5252;4;34;56;luis;cra 9 12 A;26353;2542;653.0
16363;10;5;2021;Carlos;cra 12;263;2019;1636.0
1283;12;54;10;Juan;cra 12 4;27353;20183;545.0
27373;0;0;0;Juan;cra 15;37364;201008;374.0
201;10;20;2021;Carlos;cra 203;374;201008;283.0
2342;14;93;2021;Beto;cra 20384;27364;2013;64.0
201355;20;4;2021;Juan Enrique;cra 20 7a 28;3123757324;201008;745.0
50;8;11;2021;Ricardo;cra 20-4;385746;20103;34.0
2833;16;10;2021;juanito;cra 345;376464;9384;134.0
3764;16;11;2021;pepe;cra 125;363644;20183;34.0
22;18;10;2021;Cristian;cra 12 65;3104572643;201008;144.0
135;10;10;2021;Camilo;cra 12 b ;36356456464;201008;546.0
23;10;5;2021;Camilo;calle 12 9;3104784575;201833;234.0
27;16;10;2021;Juan;calle 12 54;31034746;20173;253.0
32;20;10;2021;Carlos R;cra 9 45;318744654;201008;345.0
20;10;10;2021;Mateo;cra 17 a;318475756;20556;35.0
24;10;10;2021;Mateo;cra 26 B;310477556;201998;634.0
29;10;10;2021;Pepe;car 19 B 7;310474655;201873;45.0
34;10;11;2021;Alex;cra 12 8 a;310474675;2018;54.0
28;6;7;2021;Lina;cra 18 7 b;32104775;208346;32.0
20;10;10;2021;Leo;cra 14 7A;31037464;2038;76.0
